starID,regionName,System Name,Star,power
40013180,Vale of the Silent,LZ-6SU,Sun G3 (Pink Small),740
40013261,Vale of the Silent,MC6O-F,Sun K5 (Red Giant),580
40013307,Vale of the Silent,U54-1L,Sun A0 (Blue Small),850
40013375,Vale of the Silent,B-588R,Sun K7 (Orange),550
40013486,Vale of the Silent,NCGR-Q,Sun G5 (Pink),700
40013562,Vale of the Silent,G-LOIT,Sun K7 (Orange),550
40013678,Vale of the Silent,HE-V4V,Sun M0 (Orange radiant),500
40013788,Vale of the Silent,N-HSK0,Sun K3 (Yellow Small),650
40013814,Vale of the Silent,05R-7A,Sun B5 (White Dwarf),820
40013844,Vale of the Silent,7-UH4Z,Sun K5 (Orange Bright),620
40013939,Vale of the Silent,5ZO-NZ,Sun M0 (Orange radiant),500
40014000,Vale of the Silent,FS-RFL,Sun G5 (Yellow),680
40014063,Vale of the Silent,Y0-BVN,Sun A0 (Blue Small),850
40014123,Vale of the Silent,X97D-W,Sun B5 (White Dwarf),820
40014203,Vale of the Silent,0-R5TS,Sun K3 (Yellow Small),650
40014283,Vale of the Silent,H-UCD1,Sun M0 (Orange radiant),500
40014330,Vale of the Silent,7-K5EL,Sun G3 (Pink Small),740
40014419,Vale of the Silent,H-5GUI,Sun M0 (Orange radiant),500
40014505,Vale of the Silent,FH-TTC,Sun K5 (Red Giant),580
40014570,Vale of the Silent,FMBR-8,Sun K5 (Orange Bright),620
40014640,Vale of the Silent,3HX-DL,Sun G5 (Pink),700
40014681,Vale of the Silent,UH-9ZG,Sun G5 (Yellow),680
40014700,Vale of the Silent,NFM-0V,Sun M0 (Orange radiant),500
40014755,Vale of the Silent,YXIB-I,Sun B0 (Blue),900
40014844,Vale of the Silent,MY-T2P,Sun G5 (Yellow),680
40014904,Vale of the Silent,FA-DMO,Sun G5 (Yellow),680
40015009,Vale of the Silent,GEKJ-9,Sun K5 (Orange Bright),620
40015092,Vale of the Silent,Q-R3GP,Sun G5 (Yellow),680
40015161,Vale of the Silent,N-5QPW,Sun G5 (Yellow),680
40015221,Vale of the Silent,XV-8JQ,Sun M0 (Orange radiant),500
40015290,Vale of the Silent,WBR5-R,Sun G5 (Yellow),680
40015308,Vale of the Silent,4GYV-Q,Sun K7 (Orange),550
40015362,Vale of the Silent,4-HWWF,Sun M0 (Orange radiant),500
40015456,Vale of the Silent,YMJG-4,Sun K5 (Orange Bright),620
40015486,Vale of the Silent,8TPX-N,Sun K7 (Orange),550
40015529,Vale of the Silent,PM-DWE,Sun K5 (Red Giant),580
40015549,Vale of the Silent,K8X-6B,Sun B5 (White Dwarf),820
40015629,Vale of the Silent,X445-5,Sun G3 (Pink Small),740
40015650,Vale of the Silent,KRUN-N,Sun A0 (Blue Small),850
40015735,Vale of the Silent,9OO-LH,Sun K5 (Orange Bright),620
40015765,Vale of the Silent,V-OJEN,Sun O1 (Bright Blue),1000
40015839,Vale of the Silent,EIDI-N,Sun B5 (White Dwarf),820
40015859,Vale of the Silent,P3EN-E,Sun K5 (Orange Bright),620
40015913,Vale of the Silent,49-0LI,Sun G3 (Pink Small),740
40015941,Vale of the Silent,IPAY-2,Sun G5 (Yellow),680
40015966,Vale of the Silent,DAYP-G,Sun G5 (Yellow),680
40016007,Vale of the Silent,IFJ-EL,Sun M0 (Orange radiant),500
40016087,Vale of the Silent,47L-J4,Sun G5 (Yellow),680
40016107,Vale of the Silent,Q-L07F,Sun M0 (Orange radiant),500
40016177,Vale of the Silent,E-D0VZ,Sun G5 (Yellow),680
40016196,Vale of the Silent,6WW-28,Sun M0 (Orange radiant),500
40016243,Vale of the Silent,A8A-JN,Sun B0 (Blue),900
40016314,Vale of the Silent,S-NJBB,Sun G5 (Pink),700
40016380,Vale of the Silent,T-GCGL,Sun G5 (Yellow),680
40016514,Vale of the Silent,0MV-4W,Sun M0 (Orange radiant),500
40016609,Vale of the Silent,TVN-FM,Sun F0 (White),780
40016657,Vale of the Silent,V-NL3K,Sun G3 (Pink Small),740
40016744,Vale of the Silent,AZBR-2,Sun G5 (Pink),700
