planetID,Region Name,System Name,Planet Name,Power,Workforce,Superionic Ice / Hour,Magmatic Gas / Hour
40013213,Vale of the Silent,LZ-6SU,LZ-6SU IX,510,0,0,0
40013183,Vale of the Silent,LZ-6SU,LZ-6SU II,0,2240,0,0
40013209,Vale of the Silent,LZ-6SU,LZ-6SU VIII,0,8710,0,0
40013201,Vale of the Silent,LZ-6SU,LZ-6SU VII,320,0,0,0
40013260,Vale of the Silent,LZ-6SU,LZ-6SU XI,0,1540,0,0
40013231,Vale of the Silent,LZ-6SU,LZ-6SU X,0,0,41,0
40013194,Vale of the Silent,LZ-6SU,LZ-6SU VI,630,0,0,0
40013191,Vale of the Silent,LZ-6SU,LZ-6SU V,640,0,0,0
40013186,Vale of the Silent,LZ-6SU,LZ-6SU III,0,3080,0,0
40013188,Vale of the Silent,LZ-6SU,LZ-6SU IV,0,9220,0,0
40013181,Vale of the Silent,LZ-6SU,LZ-6SU I,0,3490,0,0
40013267,Vale of the Silent,MC6O-F,MC6O-F IV,0,8280,0,0
40013274,Vale of the Silent,MC6O-F,MC6O-F VI,280,0,0,0
40013297,Vale of the Silent,MC6O-F,MC6O-F VIII,270,0,0,0
40013263,Vale of the Silent,MC6O-F,MC6O-F II,680,0,0,0
40013302,Vale of the Silent,MC6O-F,MC6O-F IX,0,0,41,0
40013265,Vale of the Silent,MC6O-F,MC6O-F III,530,0,0,0
40013269,Vale of the Silent,MC6O-F,MC6O-F V,720,0,0,0
40013279,Vale of the Silent,MC6O-F,MC6O-F VII,190,0,0,0
40013262,Vale of the Silent,MC6O-F,MC6O-F I,0,3450,0,0
40013367,Vale of the Silent,U54-1L,U54-1L X,0,3730,0,0
40013308,Vale of the Silent,U54-1L,U54-1L I,0,3000,0,0
40013319,Vale of the Silent,U54-1L,U54-1L VIII,450,0,0,0
40013313,Vale of the Silent,U54-1L,U54-1L V,0,6480,0,0
40013332,Vale of the Silent,U54-1L,U54-1L IX,320,0,0,0
40013371,Vale of the Silent,U54-1L,U54-1L XI,0,5220,0,0
40013311,Vale of the Silent,U54-1L,U54-1L III,0,2240,0,0
40013315,Vale of the Silent,U54-1L,U54-1L VI,0,0,0,770
40013312,Vale of the Silent,U54-1L,U54-1L IV,0,0,0,665
40013310,Vale of the Silent,U54-1L,U54-1L II,0,1190,0,0
40013316,Vale of the Silent,U54-1L,U54-1L VII,640,0,0,0
40013384,Vale of the Silent,B-588R,B-588R V,120,0,0,0
40013377,Vale of the Silent,B-588R,B-588R II,890,0,0,0
40013380,Vale of the Silent,B-588R,B-588R IV,360,0,0,0
40013425,Vale of the Silent,B-588R,B-588R VII,250,0,0,0
40013378,Vale of the Silent,B-588R,B-588R III,0,4760,0,0
40013376,Vale of the Silent,B-588R,B-588R I,0,2010,0,0
40013404,Vale of the Silent,B-588R,B-588R VI,100,0,0,0
40013456,Vale of the Silent,B-588R,B-588R IX,0,0,39,0
40013452,Vale of the Silent,B-588R,B-588R VIII,0,3970,0,0
40013506,Vale of the Silent,NCGR-Q,NCGR-Q V,450,0,0,0
40013487,Vale of the Silent,NCGR-Q,NCGR-Q I,0,4200,0,0
40013559,Vale of the Silent,NCGR-Q,NCGR-Q VII,0,2200,0,0
